id,liquidity_tier,usd_size,input_mint,output_mint,amount,ours_status,ours_out,jup_restricted_status,jup_restricted_out,jup_unrestricted_status,jup_unrestricted_out,delta_bps_vs_restricted,delta_bps_vs_unrestricted,outcome_vs_restricted,ours_server_ms,ours_rtt_ms,jup_restricted_rtt_ms,jup_unrestricted_rtt_ms,jaccard_vs_restricted
sol-3TYgKwkE-100000usd-rev,tail,100000,3TYgKwkE2Y3rxdw9osLRSpxpXmSC1C1oo19W9KHspump,So11111111111111111111111111111111111111112,30304957736744,ok,81891618065,ok,81234513806,ok,81234513806,80.890,80.890,win,65.000,66.023,119.576,118.745,1.000
usdc-SsVoCh2y-0.1usd-fwd,tail,0.1,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,SsVoCh2ynpTgz7UDmdc1Nu47zyFntqKVW3S1WZgLps5,100000,no_route,,no_route,,no_route,,,,both_no_route,,18.901,168.410,107.505,
usdc-SsVoCh2y-0.1usd-rev,tail,0.1,SsVoCh2ynpTgz7UDmdc1Nu47zyFntqKVW3S1WZgLps5,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,1781355003,no_route,,no_route,,no_route,,,,both_no_route,,19.023,204.671,260.946,
usdc-SsVoCh2y-1usd-fwd,tail,1,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,SsVoCh2ynpTgz7UDmdc1Nu47zyFntqKVW3S1WZgLps5,1000000,no_route,,no_route,,no_route,,,,both_no_route,,7.109,100.146,99.883,
usdc-SsVoCh2y-1usd-rev,tail,1,SsVoCh2ynpTgz7UDmdc1Nu47zyFntqKVW3S1WZgLps5,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,17813550025,no_route,,no_route,,no_route,,,,both_no_route,,21.321,100.872,110.846,
usdc-SsVoCh2y-10usd-fwd,tail,10,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,SsVoCh2ynpTgz7UDmdc1Nu47zyFntqKVW3S1WZgLps5,10000000,no_route,,no_route,,no_route,,,,both_no_route,,26.951,147.183,150.987,
usdc-SsVoCh2y-10usd-rev,tail,10,SsVoCh2ynpTgz7UDmdc1Nu47zyFntqKVW3S1WZgLps5,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,178135500254,no_route,,no_route,,no_route,,,,both_no_route,,5.707,102.612,127.301,
usdc-SsVoCh2y-100usd-fwd,tail,100,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,SsVoCh2ynpTgz7UDmdc1Nu47zyFntqKVW3S1WZgLps5,100000000,no_route,,no_route,,no_route,,,,both_no_route,,11.623,107.550,105.354,
usdc-SsVoCh2y-100usd-rev,tail,100,SsVoCh2ynpTgz7UDmdc1Nu47zyFntqKVW3S1WZgLps5,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,1781355002541,no_route,,no_route,,no_route,,,,both_no_route,,8.139,251.056,109.411,
usdc-SsVoCh2y-1000usd-fwd,tail,1000,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,SsVoCh2ynpTgz7UDmdc1Nu47zyFntqKVW3S1WZgLps5,1000000000,no_route,,no_route,,no_route,,,,both_no_route,,17.445,104.116,158.826,
